"filename", "language", "Markdown", "JSON", "JavaScript", "Batch", "Python", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\refreshHandler.js", "JavaScript", 0, 0, 223, 0, 0, 0, 0, 33, 29, 285
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\settingsHandler.js", "JavaScript", 0, 0, 1378, 0, 0, 0, 0, 228, 266, 1872
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\sniperHandler.js", "JavaScript", 0, 0, 226, 0, 0, 0, 0, 45, 49, 320
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\startHandler.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 21, 19, 121
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\tokenHandler.js", "JavaScript", 0, 0, 357, 0, 0, 0, 0, 65, 70, 492
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\walletHandler.js", "JavaScript", 0, 0, 901, 0, 0, 0, 0, 118, 162, 1181
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\handlers\wallet\walletSettingsHandler.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 21, 23, 199
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\index.js", "JavaScript", 0, 0, 341, 0, 0, 0, 0, 62, 61, 464
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\models\extension.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 8, 4, 90
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\models\settings.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 48, 21, 178
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\models\user.js", "JavaScript", 0, 0, 301, 0, 0, 0, 0, 28, 32, 361
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\refreshHandler.js", "JavaScript", 0, 0, 192, 0, 0, 0, 0, 54, 38, 284
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\routes\extensionApi.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 9, 11, 79
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\services\apiService.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 47, 29, 199
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\services\databaseService.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 27, 10, 93
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\services\extensionService.js", "JavaScript", 0, 0, 139, 0, 0, 0, 0, 44, 29, 212
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\services\settingsService.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 37, 7, 71
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\services\userService.js", "JavaScript", 0, 0, 780, 0, 0, 0, 0, 223, 147, 1150
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\services\walletCacheService.js", "JavaScript", 0, 0, 208, 0, 0, 0, 0, 77, 62, 347
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\utils\codeGenerator.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 10, 6, 37
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\src\utils\security.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 65, 35, 255
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\start-optimized.bat", "Batch", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\test-bot.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 3, 9, 46
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\tools\generate_key.py", "Python", 0, 0, 0, 0, 25, 0, 0, 3, 9, 37
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\tools\populateDatabase.js", "JavaScript", 0, 0, 459, 0, 0, 0, 0, 99, 90, 648
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\tools\testCreateUser.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 4, 5, 40
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\utils\apiUtils.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 31, 16, 139
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\utils\encryption.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 45, 35, 185
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\utils\messageUtils.js", "JavaScript", 0, 0, 220, 0, 0, 0, 0, 62, 39, 321
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\utils\populateExampleUsers.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 26, 15, 155
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\utils\wallet.js", "JavaScript", 0, 0, 470, 0, 0, 0, 0, 99, 77, 646
"Total", "-", 273, 4191, 10388, 274, 25, 128, 0, 2238, 2133, 19650
